threshold,accuracy,precision,recall,f1_score
50,0.5,0.7273,0.2909,0.4156
51,0.5,0.7273,0.2909,0.4156
52,0.5,0.7273,0.2909,0.4156
53,0.5,0.7273,0.2909,0.4156
54,0.5,0.7273,0.2909,0.4156
55,0.5222,0.75,0.3273,0.4557
56,0.5222,0.75,0.3273,0.4557
57,0.5111,0.72,0.3273,0.45
58,0.5333,0.7407,0.3636,0.4878
59,0.5222,0.7,0.3818,0.4941
60,0.5111,0.6667,0.4,0.5
61,0.5,0.6286,0.4074,0.4944
62,0.5,0.6286,0.4074,0.4944
63,0.5,0.6216,0.4259,0.5055
64,0.4778,0.5897,0.4259,0.4946
65,0.4778,0.5581,0.4615,0.5053
66,0.4778,0.5581,0.4615,0.5053
67,0.4889,0.5682,0.4808,0.5208
68,0.4889,0.5682,0.4808,0.5208
69,0.4889,0.5556,0.4902,0.5208
70,0.5,0.5625,0.5294,0.5455
71,0.5111,0.5714,0.549,0.56
72,0.5222,0.58,0.5686,0.5743
73,0.5222,0.5769,0.5882,0.5825
74,0.5111,0.5556,0.6,0.5769
75,0.5111,0.5556,0.6,0.5769
76,0.5111,0.5556,0.6,0.5769
77,0.5111,0.5455,0.6122,0.5769
78,0.5,0.5357,0.6122,0.5714
79,0.4889,0.5263,0.6122,0.566
80,0.4889,0.5172,0.625,0.566
81,0.4667,0.4918,0.6383,0.5556
82,0.4667,0.4918,0.6383,0.5556
83,0.4778,0.4921,0.6739,0.5688
84,0.4889,0.4923,0.7111,0.5818
85,0.4889,0.4848,0.7273,0.5818
86,0.4889,0.4848,0.7273,0.5818
87,0.4889,0.4776,0.7442,0.5818
88,0.4889,0.4776,0.7442,0.5818
89,0.4889,0.4706,0.7619,0.5818
90,0.4667,0.4571,0.7619,0.5714
91,0.4667,0.4571,0.7619,0.5714
92,0.4667,0.4571,0.7619,0.5714
93,0.4556,0.4507,0.7619,0.5664
94,0.4556,0.4507,0.7619,0.5664
95,0.4444,0.4444,0.7619,0.5614
96,0.4444,0.4444,0.7619,0.5614
97,0.4333,0.4384,0.7619,0.5565
98,0.4333,0.4384,0.7619,0.5565
99,0.4333,0.4384,0.7619,0.5565
100,0.4222,0.4267,0.7805,0.5517
101,0.4,0.4156,0.7805,0.5424
102,0.3889,0.4103,0.7805,0.5378
103,0.3889,0.4103,0.7805,0.5378
104,0.3889,0.4051,0.8,0.5378
105,0.3889,0.4,0.8205,0.5378
106,0.4,0.4074,0.8462,0.55
107,0.4,0.4074,0.8462,0.55
108,0.4,0.3976,0.8919,0.55
109,0.4,0.3976,0.8919,0.55
110,0.4,0.3976,0.8919,0.55
111,0.4,0.3976,0.8919,0.55
112,0.3889,0.3929,0.8919,0.5455
113,0.3889,0.3882,0.9167,0.5455
114,0.3889,0.3882,0.9167,0.5455
115,0.3889,0.3882,0.9167,0.5455
116,0.3778,0.3837,0.9167,0.541
117,0.3778,0.3837,0.9167,0.541
118,0.3778,0.3793,0.9429,0.541
119,0.3778,0.3793,0.9429,0.541
120,0.3778,0.3793,0.9429,0.541
